Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,41,212.8,214237645,10871,202626837,92.0,11033725,251373,251200,71078500,443104700
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,42,211.2,170970614,27827,5784546,41.0,22280037,334523,14348249,948225544,12196985599
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,43,209.6,1658229422,262248,239957538,83.0,466080689,4324989,728093,54258768,1051836430
Daylight,Daylight,David Kushner,2023-04-14,44,207.0,1126820069,177800,85255689,82.0,274070101,3701289,2557115,285329503,2578518632
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,45,206.2,997702304,105927,92834002,86.0,48093111,959175,3648759,857220853,5469808282
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,46,205.7,59314441,2572,183043096,83.0,22374807,1026097,0,188200,1200000
Houdini,Houdini - Single,Dua Lipa,2023-11-09,47,205.1,493627071,45300,87874006,80.0,150571504,1575378,93500,35970610,386610043
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,48,204.4,1655575417,9,85,63.50158061116965,0,0,0,0,0
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,49,203.6,304929492,43923,46133083,69.0,61986821,921044,13872768,390207653,5684815935
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,50,203.5,1747093405,178114,49464650,74.0,9537135721,61799279,799338,78304409,1143297071
euphoria,euphoria,Kendrick Lamar,2024-04-30,51,202.1,168434320,17168,62516401,86.0,53604746,1846535,0,0,0
Panda Basi,Panda Basi - EP,Mvua,2023-02-10,52,200.3,104271,249,8585,25.0,2457026781,0,190,36666,393580
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,53,198.0,1391688322,163876,130963116,77.0,902742581,8099187,599,48035,2857920
Shape of You,Shape of You,Ed Sheeran,2017-01-06,54,195.1,3909458734,316378,148037882,80.0,8013997219,45770887,2270315,194420058,2320856331
Mitu,Mitu - Single,Maian,2023-01-19,55,194.3,55346,42,16861,13.0,2432265978,8162101,0,0,0
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,56,194.0,4281468720,590392,165544011,83.0,833807130,10093211,2882064,337322563,3501177394
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,57,192.3,1337619917,228295,64806723,80.0,193982443,2023998,423714,148085419,1268862678
Dona Felicidade,Dona Felicidade,Patati Patatï¿,2024-06-04,58,190.0,0,2,41206,63.50158061116965,52480069,82092,0,0,0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,2024-04-29,59,190.0,1655575417,1,3,63.50158061116965,0,0,0,0,0
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,60,189.1,1556275789,210583,95974138,74.0,254051906,3364206,2379787,683088623,7945975878
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,61,187.9,0,2,135,9.0,0,0,0,0,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,62,186.5,1384,2,801,63.50158061116965,222076,5430,5013500,605320683,8811416708
Supernova,Supernova,aespa,2024-05-13,63,186.1,69729033,2483,21046278,81.0,111310770,1724693,56600,61038623,393973528
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,64,184.8,1811990630,173358,67603671,79.0,1516863120,8870768,4506600,549886060,6470937272
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,65,181.4,199929812,4,98,63.50158061116965,0,0,0,0,0
Calm Down,Calm Down,Rema,2022-02-10,66,180.1,584427088,182994,19203258,68.0,1141904909,8766235,6129450,856216952,18216656774
CARNIVAL,CARNIVAL,ýý$,2024-02-08,67,179.6,466887055,53842,103935623,84.0,27688666,449112,0,0,0
Kill Bill,SOS,SZA,2022-12-08,68,177.7,1873746537,190202,99546318,82.0,220538045,3153793,266430,152410048,1284413960
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,69,177.6,891720245,114560,97542546,82.0,144741616,2761964,1443103,498822693,3998086216
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,70,176.2,46567,252,21930,6.0,2038459981,6076902,0,0,0
Heat Waves,Heat Waves,Glass Animals,2020-06-29,71,175.0,2996181078,486278,112416489,82.0,1272898075,14947520,1416295,513334446,5518429969
In the End,Papercuts,Linkin Park,2024-04-12,72,174.8,2045512421,97,488602,63.50158061116965,0,0,0,0,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,73,174.3,946941510,100130,74836321,74.0,776436101,12951756,4210895,797017650,11936401096
The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-03-10,74,173.6,7909,38,15023,4.0,1999374091,5708577,0,0,0
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,75,170.3,1010494713,127393,18652312,67.0,3203314695,41487213,5757883,187301054,1981431049
un x100to,un x100to,Grupo Frontera,2023-04-17,76,170.2,1008495696,99381,57394938,75.0,878892413,4425283,796603,127651887,1669065906
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,2020-04-24,77,168.9,0,10230,1142937,63.50158061116965,12489728,339414,42900000,919945708,12221514692
Sprinter,Sprinter - Single,Dave,2023-06-01,78,168.1,692512930,199828,55464762,78.0,219666692,2332307,731797,130560533,1254944697
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,79,167.8,169410711,11028,144854768,90.0,19402457,997411,284,0,0
TQG,TQG,KAROL G,2023-02-23,80,167.8,1024381758,78554,69319589,78.0,1102289596,8953293,457111,15048444,248168852
Perfect,ýý (Deluxe),Ed Sheeran,2017-03-03,81,167.5,2969999682,280165,116921604,81.0,6473698897,39632673,6642975,601244764,7647479866
Pepas,Pepas,Farruko,2021-06-24,82,167.3,1500499584,359502,125112486,74.0,1431591689,11553088,2866181,290811371,4067248819
Peekaboo,Glide - Single,Dave Angel,2023-01-27,83,167.2,8082,63,32758,63.50158061116965,2055940513,4150967,0,0,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,84,166.5,1215336974,129463,39814172,74.0,701880622,3831236,5416,550073,15373104
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,85,166.2,860026452,74769,139913794,80.0,173044031,1640319,175536,90924917,1227837850
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,2023-03-17,86,164.9,1032225805,94887,74469479,79.0,920878032,3118229,1031612,116003972,2416141351
redrum,american dream,21 Savage,2024-01-12,87,164.8,428233003,57311,144298748,63.50158061116965,105148629,1762297,87200,6732800,43993800
Easy On Me,Easy On Me,Adele,2021-10-14,88,163.2,1720918065,209635,93875458,73.0,1194846205,13561925,1912194,733101955,7860224413
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,2022-05-06,89,163.1,1514239759,190692,77283361,77.0,1366181141,9358441,1769068,475656543,5249863696
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-05-12,90,162.0,333202114,108322,41018697,68.0,203487345,2084532,928132,63253779,748253884
Anti-Hero,Midnights,Taylor Swift,2022-10-21,91,161.8,1563224246,117005,97456780,80.0,203259285,3482508,1302967,376660493,3864505972
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,92,161.7,1692951462,209490,88591675,78.0,1132539234,8795731,1212100,196608777,2054826154
Magnetic,SUPER REAL ME,ILLIT,2024-03-25,93,161.0,255076355,11500,90584540,86.0,202206901,2596912,0,57656713,506476590
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,94,158.2,275349653,37806,22826643,70.0,347506860,1553295,4349700,321239621,4767676439
La Diabla,La Diabla - Single,Xavi,2023-12-02,95,155.9,649404552,27544,47789063,83.0,433839212,2750086,0,414833,10603563
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2023-02-03,96,153.6,851085705,129047,50996176,70.0,211810152,2461166,3502547,955272568,8781020473
Snooze,SOS,SZA,2022-12-09,97,153.3,1013350808,108036,86470319,84.0,390677417,2521214,402338,97819766,887803828
BELLAKEO,BELLAKEO,Peso Pluma,2023-12-07,98,153.1,359803580,26065,79152427,86.0,369321334,1839225,720800,74164945,874056250
Agora Hills,Scarlet,Doja Cat,2023-09-22,99,152.8,509653100,66219,67521533,63.50158061116965,48045203,986278,328562,88846508,544437406
Prada,Prada,cassï¿,2023-08-11,100,152.5,609699748,128498,160755092,83.0,47611547,418343,283600,96934486,1090501901
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,2024-05-02,101,152.3,5157486,470,2924720,63.50158061116965,1278618,27849,1100000,261000,3900000
Lil Boo Thang,Lil Boo Thang,Paul Russell,2023-08-18,102,152.1,242070373,37170,74130983,76.0,22907992,261664,2553106,312997953,3832221658
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,103,150.7,478150858,73306,51842133,78.0,113379734,1312763,1700998,182319546,2111289492
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,2020-04-24,104,150.5,61382407,7240,1708319,43.0,9977490,201210,37726462,9239474,147837262
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,2023-06-15,105,150.4,460156070,163449,127827271,77.0,8183226,98257,530103,65920648,1032799567
Training Season,Training Season,Dua Lipa,2024-02-15,106,148.9,251153869,16811,92985554,76.0,66691067,961957,102884,34572688,431390500
Type Shit,WE DON'T TRUST YOU,Future,2024-03-22,107,148.1,205206688,28064,84737651,84.0,39453253,672789,0,0,0
